,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
8,Symmetry-1,4.0797302170007524e-05,0.013632643884124487,-7.114778173880742e-05,2.676514682888637e-06,7.115534766833855e-05,2.6858615131314197e-06,0.0,0.0
25,Compactness-3,4.412332935372964e-05,0.08029154645042183,-6.640754405195735e-08,3.096470289466522e-07,6.640754405195735e-08,3.096470289466522e-07,0.0,0.0
9,Fractal Dimension-1,6.267001668872397e-05,0.003741980809447488,-5.076889481824601e-06,3.425542588148684e-05,5.731985520206005e-06,3.6293121354129145e-05,0.0,0.0
17,Concave Points-2,8.692494627304179e-05,0.0031809525083211325,8.215316318223198e-05,-4.9482387120912615e-05,8.240489049289479e-05,5.086517631483292e-05,0.0,0.0
11,Texture-2,0.00016517603248998795,0.27921392005067097,2.3810362594573813e-05,-7.099949596142023e-07,9.854431725717842e-05,1.552169961849441e-06,0.0,0.0
29,Fractal Dimension-3,0.0003921217546951872,0.009026627409132645,0.0005308845434609325,-1.4093838993800756e-05,0.0005367188342500779,1.9145202129346732e-05,0.0,0.0
12,Perimeter-2,0.0004073953885914845,1.0428031492199727,-0.0002840418371740487,7.171479377061548e-05,0.0005617006561045531,0.0004727409604639275,0.0,0.0
16,Concavity-2,0.0008276133389410229,0.016465074832012684,0.0001471945176420101,-0.00014974546904258356,0.00014836575593108587,0.00015207993812612144,0.0,0.0
3,Area-1,0.0008576958976862385,178.69782387553067,0.0007164084033756556,0.0007869856621569225,0.0022207940365923636,0.0008621565749820093,0.0,0.0
15,Compactness-2,0.0009566760610328528,0.009375420913950251,-7.538527228024309e-08,1.657237611274146e-06,9.729716307730771e-08,1.7732545318393512e-06,0.0,0.0
0,Radius-1,0.0009818031860470819,1.7960550163998463,0.0016799807828986103,-0.0006145597168286933,0.0019538932645793393,0.001053767249214178,0.0,0.0
18,Symmetry-2,0.0009871652078050767,0.004208770558429445,0.0002869514110332612,5.2883870552337935e-05,0.00028788459437169414,7.753801063116224e-05,0.0,0.0
14,Smoothness-2,0.0010231135671946445,0.0016008052624781751,0.00037692599188055497,-0.00010634856902709402,0.000609745574286771,0.00018624437936050887,0.0,0.0
19,Fractal Dimension-2,0.0010956114528754932,0.0013945226642815807,0.0008448616198103272,-4.428693553974535e-05,0.0008458644396050982,4.4295264529558125e-05,0.0,0.0
28,Symmetry-3,0.0014966786197156072,0.0312528940302822,-3.754079336213685e-05,0.00011129405775156617,0.0002895659860171645,0.00023741977246101938,0.0,0.0
6,Concavity-1,0.0016446389190794125,0.04070816984032731,3.77815280006273e-06,0.00016743862530635285,0.0003142052225914591,0.00016992328116567973,0.0,0.0
2,Perimeter-1,0.0018417179244154217,12.371079867859082,0.00022710830645560154,-0.00021565709970387668,0.0003678857335675136,0.0002189539411990336,0.0,0.0
4,Smoothness-1,0.001955226117752298,0.0071222967329655365,-3.3429201264991e-08,-4.207386453220181e-08,3.369095187481973e-07,2.7033505027318856e-06,0.0,0.0
5,Compactness-1,0.002292785571122576,0.027610986163201366,0.000861817130133133,-5.881677376795947e-06,0.000861817130133133,5.904209233885567e-06,0.0,0.0
7,Concave Points-1,0.002346100813306018,0.019695904623135353,-0.000812057067188147,0.001612970234962128,0.0015589926393150362,0.0017579255760146106,0.0,0.0
26,Concavity-3,0.0038060739048098266,0.10608227478489166,0.00025674445007563875,-0.00022886147424064116,0.0002659934318552656,0.00037931769696230016,0.0,0.0
20,Radius-3,0.003827303677966308,2.4588710370964155,-0.002068868474092812,0.0014921563322058398,0.002068975514121281,0.0016591648664511624,0.0,0.0
10,Radius-2,0.004021593785144312,0.14122038574116427,6.639424531731736e-06,-2.8993213654124254e-05,0.00013287092205525953,3.166473391315576e-05,0.0,0.0
13,Area-2,0.010122333421587224,22.10911039976278,-0.00025472876952368535,0.00214447358849255,0.0002639463247165026,0.0021515032229542774,0.0,1.3415243759523606e-05
24,Smoothness-3,0.019664527581011816,0.011437466226171446,-0.00426606705523856,0.002602190728654257,0.004266090371427916,0.0026022773236208225,0.0,0.0
1,Texture-1,0.02395507776034717,2.14633551876057,-0.00274197061194275,0.0017107931360438417,0.002798070998278428,0.0020870471831664463,0.0,0.0
21,Texture-3,0.042046465167567645,3.045463924555634,-0.003706349613005282,0.0031757274046921163,0.0037115923475577487,0.0031867654279092257,0.0,0.0
27,Concave Points-3,0.09381742251489261,0.03313383569237146,-0.008354452865065646,0.007184353453102142,0.008371588593841671,0.007186416101894719,0.0,0.0
23,Area-3,0.3741960679336941,287.7962652195376,-0.030227603505651228,0.05363619848648133,0.03025404636588844,0.05364534583186566,0.0,6.698692004290169e-05
22,Perimeter-3,0.4050370988057428,17.15849820265742,-0.009142448173516941,0.024944663342151365,0.009159266281819137,0.02495529542969577,0.0,0.0
