,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
12,CHAS=0.0,0.00017269889074421956,,,,,,,
13,CHAS=1.0,0.000320360436805475,,,,,,,
1,ZN,0.0006184845271167822,11.561904504492452,-0.024345587474956288,0.024774089323379593,0.026258769187704124,0.037585721630850624,0.0,0.0
7,RAD,0.0016534395357065167,4.289541828805091,-0.24270100321881752,0.06676194649755567,0.24563022024247722,0.07636204278178679,0.20678006698610574,0.0
2,INDUS,0.002122289632576464,3.443039676613363,0.08799493348779003,0.09834740887905274,0.13583425072262234,0.18248095747636706,0.05772623848071845,0.0
8,TAX,0.010664926207855365,82.98343425017102,1.1674393225285917,-0.260761709141058,1.2172328544629438,0.2937339048023239,0.0707837319283513,0.03063397758658226
10,B,0.01230399527520297,45.72656881574895,-0.149703917578017,0.08976747627061739,0.20762569335984446,0.1592065073424746,0.0,0.0
5,AGE,0.019299939703522458,13.980126746690955,0.20782898769074887,-0.180415247410035,0.4824058556985712,0.34169709640258966,0.3543896016033976,0.16179166717422078
0,CRIM,0.02181247398648284,4.432033718258579,-0.44558727429980977,-0.462322295742286,0.6500057695567744,0.5574309473068584,0.6277255270906572,0.4488887564509554
9,PTRATIO,0.03016391734713413,1.1129704632793018,0.6066197090948421,-0.34846494345113244,0.643024770519643,0.3834164898880358,0.46017786213730716,0.14719383541407183
3,NOX,0.03257717462128009,0.05877935520360989,0.10872481382668653,-0.22283066189098094,0.26035964638466463,0.33831909490637635,0.056141883786693825,0.0
6,DIS,0.06658778410286618,1.0642935686250505,3.4215734657182235,-0.29350789266375066,3.510296458610551,0.646116178617545,0.7823659748864191,0.2943954572953107
11,LSTAT,0.38817266755141133,3.5507877966079993,1.8219184451110797,-1.7771358360347398,1.8463148364521675,1.8029112767976008,1.514138715629091,1.3588577254683933
4,RM,0.41352984818129507,0.3542865889835718,-1.1502290961598551,1.4878605095841377,1.265662288261982,1.687076851321663,0.5644899713405547,0.7156828062021479
